Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553ca0>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.5, 3.3): 6.578430051798857
(2.5, 3.4): 5.032958860881773
(2.5, 3.5): 3.710590891027238
(2.5, 3.6): 2.583659223047021
(2.5, 3.7): 1.6273176830095724
(2.5, 3.8): 0.8193042195931632
(2.5, 3.9): 0.13973581916937147
(2.5, 4.0): -0.42907780548286406
(2.5, 4.1): -0.9028089464712492
(2.5, 4.2): -1.2952787566823238
(2.5, 4.3): -1.618617813931918
(2.5, 4.4): -1.8834207439554183
(2.5, 4.5): -2.0988945878925556
(2.5, 4.6): -2.2730002930508784
(2.5, 4.7): -2.4125866207457567
(2.5, 4.8): -2.523515814336644
(2.5, 4.9): -2.610780498093144
(2.5, 5.0): -2.6786114464674933
(2.5, 5.1): -2.730576049005265
(2.5, 5.2): -2.769667481169723
(2.5, 5.3): -2.798384763354794
(2.5, 5.4): -2.8188040406494106
(2.5, 5.5): -2.832641539033627
(2.5, 5.6): -2.841308746869624
(2.5, 5.7): -2.845960433697697
(2.5, 5.8): -2.8475361532289227
(2.5, 5.9): -2.846795887377081
(2.5, 6.0): -2.8443504774741526
(2.6, 3.0): 9.128494252615322
(2.6, 3.1): 7.148956662126184
(2.6, 3.2): 5.439461836234952
(2.6, 3.3): 3.9683684261688983
(2.6, 3.4): 2.7074514806837424
(2.6, 3.5): 1.6313919488986657
(2.6, 3.6): 0.7174197183426385
(2.6, 3.7): -0.05494771872104668
(2.6, 3.8): -0.7041081761504586
(2.6, 3.9): -1.2465426972598466
(2.6, 4.0): -1.696962861837707
(2.6, 4.1): -2.0684459610773467
(2.6, 4.2): -2.3725627661735724
(2.6, 4.3): -2.619500269724098
(2.6, 4.4): -2.818180357622609
(2.6, 4.5): -2.9763745454547945
(2.6, 4.6): -3.100814470099928
(2.6, 4.7): -3.1972976224812766
(2.6, 4.8): -3.270787750369972
(2.6, 4.9): -3.3255093933918793
(2.6, 5.0): -3.3650361000576337
(2.6, 5.1): -3.392371995374519
(2.6, 5.2): -3.4100265018859743
(2.6, 5.3): -3.420082155007003
(2.6, 5.4): -3.4242555865064954
(2.6, 5.5): -3.423951870667037
(2.6, 5.6): -3.4203125308237623
(2.6, 5.7): -3.4142575862762925
(2.6, 5.8): -3.4065220793588034
(2.6, 5.9): -3.3976875602319185
(2.6, 6.0): -3.3882090242120335
(2.7, 3.0): 6.1884287372205495
(2.7, 3.1): 4.5756761156081165
(2.7, 3.2): 3.186018173470528
(2.7, 3.3): 1.9931838606315655
(2.7, 3.4): 0.9738734303465848
(2.7, 3.5): 0.10724802149824048
(2.7, 3.6): -0.6254179313896652
(2.7, 3.7): -1.2409815169812815
(2.7, 3.8): -1.7546124817502982
(2.7, 3.9): -2.1799357166235134
(2.7, 4.0): -2.5291507987177657
(2.7, 4.1): -2.8131381606222523
(2.7, 4.2): -3.041557489661456
(2.7, 4.3): -3.2229414349274257
(2.7, 4.4): -3.3647861312321377
(2.7, 4.5): -3.4736391041764234
(2.7, 4.6): -3.5551845757333025
(2.7, 4.7): -3.6143258973315353
(2.7, 4.8): -3.6552647016366007
(2.7, 4.9): -3.6815763247818873
(2.7, 5.0): -3.6962810706658407
(2.7, 5.1): -3.7019109457134713
(2.7, 5.2): -3.7005715722887387
(2.7, 5.3): -3.693999082497428
(2.7, 5.4): -3.6836118942446396
(2.7, 5.5): -3.6705573717869218
(2.7, 5.6): -3.6557534682500554
(2.7, 5.7): -3.6399255327390487
(2.7, 5.8): -3.6236385361722894
(2.7, 5.9): -3.6073250253927567
(2.7, 6.0): -3.591309153690839
