Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.644: -1.187496385 (12.096928496)
3.645: -1.19803881 (12.106890281)
3.646: -1.2086099625 (12.116857534)
3.647: -1.2190596875 (12.126830256)
3.648: -1.2294633825 (12.136808448)
3.649: -1.2400485875 (12.146792112)
3.65: -1.250359695 (12.15678125)
3.651: -1.260745275 (12.166775863)
3.652: -1.2709646975 (12.176775952)
3.653: -1.28127342 (12.186781519)
3.654: -1.2914015375 (12.196792566)
3.655: -1.3016353775 (12.206809094)
3.656: -1.3116726825 (12.216831104)
3.657: -1.3217574175 (12.226858598)
3.658: -1.331704415 (12.236891578)
3.659: -1.3417162525 (12.246930045)
3.66: -1.3515734 (12.256974)
3.661: -1.36145835 (12.267023445)
3.662: -1.3712262075 (12.277078382)
3.663: -1.3809496975 (12.287138812)
3.664: -1.39085913 (12.297204736)
3.665: -1.4004933525 (12.307276156)
3.666: -1.410212735 (12.317353074)
3.667: -1.4197584925 (12.327435491)
3.668: -1.4293889475 (12.337523408)
3.669: -1.43884671 (12.347616827)
3.67: -1.448421405 (12.35771575)
3.671: -1.45779139 (12.367820178)
3.672: -1.46716579 (12.377930112)
3.673: -1.476448735 (12.388045554)
3.674: -1.4858587825 (12.398166506)
3.675: -1.495054665 (12.408292969)
3.676: -1.5044386325 (12.418424944)
3.677: -1.51354762 (12.428562433)
3.678: -1.5227170175 (12.438705438)
3.679: -1.5317398125 (12.44885396)
3.68: -1.540719815 (12.459008)
3.681: -1.5498329475 (12.46916756)
3.682: -1.558839295 (12.479332642)
3.683: -1.568206145 (12.489503247)
3.684: -1.5774229125 (12.499679376)
3.685: -1.58667684 (12.509861031)
3.686: -1.595808765 (12.520048214)
3.687: -1.6050526025 (12.530240926)
3.688: -1.6140999125 (12.540439168)
3.689: -1.6232870975 (12.550642942)
3.69: -1.6322501425 (12.56085225)
3.691: -1.641245365 (12.571067093)
3.692: -1.650124985 (12.581287472)
3.693: -1.659037515 (12.591513389)
3.694: -1.6678341925 (12.601744846)
3.695: -1.6768800325 (12.611981844)
3.696: -1.68559354 (12.622224384)
3.697: -1.6942660975 (12.632472468)
3.698: -1.7029847025 (12.642726098)
3.699: -1.711575385 (12.652985275)
3.7: -1.7201963425 (12.66325)
3.701: -1.72870559 (12.673520275)
3.702: -1.737363655 (12.683796102)
3.703: -1.74579148 (12.694077482)
3.704: -1.75428035 (12.704364416)
3.705: -1.762627505 (12.714656906)
3.706: -1.771126705 (12.724954954)
3.707: -1.7793933075 (12.735258561)
3.708: -1.7878926725 (12.745567728)
3.709: -1.796078885 (12.755882457)
3.71: -1.804293975 (12.76620275)
3.711: -1.8124009275 (12.776528608)
3.712: -1.82056813 (12.786860032)
3.713: -1.82859609 (12.797197024)
3.714: -1.836725795 (12.807539586)
3.715: -1.84467502 (12.817887719)
3.716: -1.8525852675 (12.828241424)
3.717: -1.8605566475 (12.838600703)
3.718: -1.8683888725 (12.848965558)
3.719: -1.8763707625 (12.85933599)
3.72: -1.8841249425 (12.869712)
3.721: -1.8919294175 (12.88009359)
3.722: -1.899606265 (12.890480762)
3.723: -1.907370755 (12.900873517)
3.724: -1.91497052 (12.911271856)
3.725: -1.9226873375 (12.921675781)
3.726: -1.9302103375 (12.932085294)
3.727: -1.9379344575 (12.942500396)
3.728: -1.9453807225 (12.952921088)
3.729: -1.9528793925 (12.963347372)
3.73: -1.9602497525 (12.97377925)
3.731: -1.967658155 (12.984216723)
3.732: -1.9749529275 (12.994659792)
3.733: -1.982399765 (13.005108459)
3.734: -1.98961893 (13.015562726)
3.735: -1.9968007125 (13.026022594)
3.736: -2.0042345825 (13.036488064)
3.737: -2.0117752925 (13.046959138)
3.738: -2.0194057575 (13.057435818)
3.739: -2.02687198 (13.067918105)
3.74: -2.034528325 (13.078406)
3.741: -2.041919995 (13.088899505)
3.742: -2.04935993 (13.099398622)
3.743: -2.0566781075 (13.109903352)
3.744: -2.06405595 (13.120413696)
3.745: -2.0713010375 (13.130929656)
3.746: -2.0786327925 (13.141451234)
3.747: -2.0858051375 (13.151978431)
3.748: -2.09306714 (13.162511248)
3.749: -2.1001671925 (13.173049687)
3.75: -2.1073667025 (13.18359375)
3.751: -2.1143948325 (13.194143438)
3.752: -2.12154917 (13.204698752)
3.753: -2.128505795 (13.215259694)
3.754: -2.1355298125 (13.225826266)
3.755: -2.1424155375 (13.236398469)
3.756: -2.1493703125 (13.246976304)
3.757: -2.1561854975 (13.257559773)
3.758: -2.162965735 (13.268148878)
3.759: -2.169919135 (13.27874362)
3.76: -2.1766290525 (13.289344)
3.761: -2.1833952375 (13.29995002)
3.762: -2.1900355575 (13.310561682)
3.763: -2.1968298 (13.321178987)
3.764: -2.20340049 (13.331801936)
3.765: -2.21007732 (13.342430531)
3.766: -2.21657893 (13.353064774)
3.767: -2.223122065 (13.363704666)
3.768: -2.2295551575 (13.374350208)
3.769: -2.2361574175 (13.385001402)
3.77: -2.242521915 (13.39565825)
3.771: -2.2490810625 (13.406320753)
3.772: -2.255377255 (13.416988912)
3.773: -2.2617217025 (13.427662729)
3.774: -2.2679504375 (13.438342206)
3.775: -2.2742716075 (13.449027344)
3.776: -2.2804330675 (13.459718144)
3.777: -2.28671044 (13.470414608)
3.778: -2.2928048775 (13.481116738)
3.779: -2.29893653 (13.491824535)
3.78: -2.3049645525 (13.502538)
3.781: -2.31118024 (13.513257135)
3.782: -2.31714167 (13.523981942)
3.783: -2.32321407 (13.534712422)
3.784: -2.3291093825 (13.545448576)
3.785: -2.3349720225 (13.556190406)
3.786: -2.34090029 (13.566937914)
3.787: -2.346697475 (13.577691101)
3.788: -2.352569925 (13.588449968)
3.789: -2.358301935 (13.599214517)
3.79: -2.3642078525 (13.60998475)
3.791: -2.369874755 (13.620760668)
3.792: -2.3757868175 (13.631542272)
