Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553070>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.8, 4.756): -3.8034619982325886
(2.8, 4.757): -3.80358237206879
(2.8, 4.758): -3.803701509666216
(2.8, 4.759): -3.80381941400975
(2.8, 4.76): -3.803936088072121
(2.8, 4.761): -3.804051534828523
(2.8, 4.762): -3.804165757246534
(2.8, 4.763): -3.8042787582863244
(2.8, 4.764): -3.8043905409067422
(2.8, 4.765): -3.8045011080605597
(2.8, 4.766): -3.804610462692604
(2.8, 4.767): -3.804718607750557
(2.8, 4.768): -3.8048255461684666
(2.8, 4.769): -3.8049312808797824
(2.8, 4.77): -3.8050358148125616
(2.8, 4.771): -3.8051391508918306
(2.8, 4.772): -3.8052412920323873
(2.8, 4.773): -3.8053422411512754
(2.8, 4.774): -3.8054420011540167
(2.8, 4.775): -3.8055405749468276
(2.8, 4.776): -3.8056379654254675
(2.8, 4.777): -3.8057341754875296
(2.8, 4.778): -3.805829208019088
(2.8, 4.779): -3.8059230659056618
(2.8, 4.78): -3.806015752027676
(2.8, 4.781): -3.8061072692580264
(2.8, 4.782): -3.8061976204671883
(2.8, 4.783): -3.8062868085187573
(2.8, 4.784): -3.806374836276521
(2.8, 4.785): -3.8064617065925086
(2.8, 4.786): -3.8065474223185873
(2.8, 4.787): -3.806631986299858
(2.8, 4.788): -3.8067154013791815
(2.8, 4.789): -3.8067976703898196
(2.8, 4.79): -3.806878796166862
(2.8, 4.791): -3.8069587815333215
(2.8, 4.792): -3.807037629311478
(2.8, 4.793): -3.807115342322361
(2.8, 4.794): -3.807191923374295
(2.8, 4.795): -3.8072673752758432
(2.8, 4.796): -3.807341700830088
(2.8, 4.797): -3.807414902837124
(2.8, 4.798): -3.8074869840864105
(2.8, 4.799): -3.8075579473712433
(2.8, 4.8): -3.807627795472445
(2.8, 4.801): -3.8076965311700897
(2.801, 4.6): -3.76871600143701
(2.801, 4.601): -3.7690659434009257
(2.801, 4.602): -3.769414123885434
(2.801, 4.603): -3.76976054671105
(2.801, 4.604): -3.7701052156889836
(2.801, 4.605): -3.770448134623398
(2.801, 4.606): -3.770789307318793
(2.801, 4.607): -3.7711287375664475
(2.801, 4.608): -3.7714664291562707
(2.801, 4.609): -3.7718023858715175
(2.801, 4.61): -3.7721366114884978
(2.801, 4.611): -3.772469109780502
(2.801, 4.612): -3.772799884510282
(2.801, 4.613): -3.7731289394403924
(2.801, 4.614): -3.773456278322386
(2.801, 4.615): -3.7737819049049137
(2.801, 4.616): -3.7741058229317175
(2.801, 4.617): -3.774428036138864
(2.801, 4.618): -3.7747485482564724
(2.801, 4.619): -3.7750673630115203
(2.801, 4.62): -3.775384484120841
(2.801, 4.621): -3.7756999152990374
(2.801, 4.622): -3.7760136602547596
(2.801, 4.623): -3.776325722690629
(2.801, 4.624): -3.7766361063013285
(2.801, 4.625): -3.7769448147782776
(2.801, 4.626): -3.777251851805864
(2.801, 4.627): -3.777557221065954
(2.801, 4.628): -3.7778609262284957
(2.801, 4.629): -3.7781629709636233
(2.801, 4.63): -3.77846335893246
(2.801, 4.631): -3.778762093791162
(2.801, 4.632): -3.7790591791926995
(2.801, 4.633): -3.779354618781519
(2.801, 4.634): -3.7796484161948722
(2.801, 4.635): -3.7799405750680486
(2.801, 4.636): -3.780231099030061
(2.801, 4.637): -3.7805199917028314
(2.801, 4.638): -3.78080725670148
(2.801, 4.639): -3.7810928976401508
