Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.5, 5.6): -2.15911244
(2.5, 5.7): -2.18793575
(2.5, 5.8): -2.215514915
(2.5, 5.9): -2.244471965
(2.5, 6.0): -2.26396711
(2.6, 3.0): 9.692525415
(2.6, 3.1): 7.898217965
(2.6, 3.2): 6.321742125
(2.6, 3.3): 4.94443202
(2.6, 3.4): 3.747971875
(2.6, 3.5): 2.70917
(2.6, 3.6): 1.81206754
(2.6, 3.7): 1.03844072
(2.6, 3.8): 0.378969295
(2.6, 3.9): -0.18139712
(2.6, 4.0): -0.64999398
(2.6, 4.1): -1.045813835
(2.6, 4.2): -1.37705733
(2.6, 4.3): -1.65363415
(2.6, 4.4): -1.88605285
(2.6, 4.5): -2.07391359
(2.6, 4.6): -2.23069676
(2.6, 4.7): -2.35442737
(2.6, 4.8): -2.4512817
(2.6, 4.9): -2.53191511
(2.6, 5.0): -2.5936865
(2.6, 5.1): -2.64158888
(2.6, 5.2): -2.674531795
(2.6, 5.3): -2.698345585
(2.6, 5.4): -2.71578565
(2.6, 5.5): -2.733478585
(2.6, 5.6): -2.745157565
(2.6, 5.7): -2.75468145
(2.6, 5.8): -2.7638503
(2.6, 5.9): -2.7748161
(2.6, 6.0): -2.78410585
(2.7, 3.0): 6.94357405
(2.7, 3.1): 5.45656002
(2.7, 3.2): 4.14777238
(2.7, 3.3): 3.010906705
(2.7, 3.4): 2.02240992
(2.7, 3.5): 1.180714955
(2.7, 3.6): 0.44933842
(2.7, 3.7): -0.178373785
(2.7, 3.8): -0.71020569
(2.7, 3.9): -1.157407095
(2.7, 4.0): -1.53213313
(2.7, 4.1): -1.851840085
(2.7, 4.2): -2.11009716
(2.7, 4.3): -2.322458745
(2.7, 4.4): -2.48613745
(2.7, 4.5): -2.629938095
(2.7, 4.6): -2.74843549
(2.7, 4.7): -2.83654214
(2.7, 4.8): -2.908177685
(2.7, 4.9): -2.9614711
(2.7, 5.0): -3.002381235
(2.7, 5.1): -3.024279735
(2.7, 5.2): -3.03182573
(2.7, 5.3): -3.035159145
(2.7, 5.4): -3.039456535
(2.7, 5.5): -3.041908885
(2.7, 5.6): -3.03645662
(2.7, 5.7): -3.03030411
(2.7, 5.8): -3.032650255
(2.7, 5.9): -3.02584393
(2.7, 6.0): -3.013902095
(2.8, 3.0): 4.7414474
(2.8, 3.1): 3.51038583
(2.8, 3.2): 2.43637033
(2.8, 3.3): 1.50498782
(2.8, 3.4): 0.703243405
(2.8, 3.5): 0.02174392
(2.8, 3.6): -0.57037347
(2.8, 3.7): -1.074575005
(2.8, 3.8): -1.498764165
