Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x5513f0>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.934: -3.71542475449822 (15.220996126)
3.935: -3.71723607087234 (15.232606344)
3.936: -3.71903051831032 (15.244222464)
3.937: -3.7208081537445405 (15.255844488)
3.938: -3.722569033944209 (15.267472418)
3.939: -3.7243132155186043 (15.279106255)
3.94: -3.7260407549129084 (15.290746)
3.941: -3.727751708410847 (15.302391655)
3.942: -3.7294461321345183 (15.314043222)
3.943: -3.731124082047312 (15.325700702)
3.944: -3.732785613950785 (15.337364096)
3.945: -3.734430783486 (15.349033406)
3.946: -3.7360596461357694 (15.360708634)
3.947: -3.737672257224305 (15.372389781)
3.948: -3.7392686719158226 (15.384076848)
3.949: -3.7408489452172926 (15.395769837)
3.95: -3.7424131319781897 (15.40746875)
3.951: -3.743961286889773 (15.419173588)
3.952: -3.7454934644882956 (15.430884352)
3.953: -3.7470097191508396 (15.442601044)
3.954: -3.7485101051011105 (15.454323666)
3.955: -3.7499946764060303 (15.466052219)
3.956: -3.751463486978169 (15.477786704)
3.957: -3.752916590573909 (15.489527123)
3.958: -3.7543540407964198 (15.501273478)
3.959: -3.7557758910948627 (15.51302577)
3.96: -3.757182194765363 (15.524784)
3.961: -3.7585730049500663 (15.53654817)
3.962: -3.7599483746394826 (15.548318282)
3.963: -3.7613083566716226 (15.560094337)
3.964: -3.7626530037322174 (15.571876336)
3.965: -3.76398236835621 (15.583664281)
3.966: -3.7652965029269563 (15.595458174)
3.967: -3.766595459679225 (15.607258016)
3.968: -3.7678792906949647 (15.619063808)
3.969: -3.7691480479078283 (15.630875552)
3.97: -3.7704017831018977 (15.64269325)
3.971: -3.771640547912826 (15.654516903)
3.972: -3.7728643938267146 (15.666346512)
3.973: -3.7740733721838238 (15.678182079)
3.974: -3.7752675341730546 (15.690023606)
3.975: -3.776446930840295 (15.701871094)
3.976: -3.777611613080777 (15.713724544)
3.977: -3.7787616316454593 (15.725583958)
3.978: -3.779897037138677 (15.737449338)
3.979: -3.781017880019232 (15.749320685)
3.98: -3.7821242106005455 (15.761198)
3.981: -3.783216079051272 (15.773081285)
3.982: -3.784293535394783 (15.784970542)
3.983: -3.785356629512146 (15.796865772)
3.984: -3.7864054111379346 (15.808766976)
3.985: -3.7874399298670145 (15.820674156)
