Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x552530>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.942: -3.7294461321345187 (15.314043222)
3.943: -3.7311240820473124 (15.325700702)
3.944: -3.7327856139507856 (15.337364096)
3.945: -3.734430783486 (15.349033406)
3.946: -3.7360596461357694 (15.360708634)
3.947: -3.737672257224305 (15.372389781)
3.948: -3.7392686719158226 (15.384076848)
3.949: -3.740848945217292 (15.395769837)
3.95: -3.7424131319781897 (15.40746875)
3.951: -3.743961286889773 (15.419173588)
3.952: -3.745493464488295 (15.430884352)
3.953: -3.74700971915084 (15.442601044)
3.954: -3.7485101051011105 (15.454323666)
3.955: -3.749994676406031 (15.466052219)
3.956: -3.7514634869781687 (15.477786704)
3.957: -3.752916590573909 (15.489527123)
3.958: -3.7543540407964193 (15.501273478)
3.959: -3.755775891094862 (15.51302577)
3.96: -3.7571821947653623 (15.524784)
3.961: -3.758573004950066 (15.53654817)
3.962: -3.7599483746394817 (15.548318282)
3.963: -3.761308356671622 (15.560094337)
3.964: -3.7626530037322166 (15.571876336)
3.965: -3.76398236835621 (15.583664281)
3.966: -3.7652965029269563 (15.595458174)
3.967: -3.7665954596792246 (15.607258016)
3.968: -3.7678792906949647 (15.619063808)
3.969: -3.769148047907828 (15.630875552)
3.97: -3.770401783101897 (15.64269325)
3.971: -3.7716405479128263 (15.654516903)
3.972: -3.772864393826714 (15.666346512)
3.973: -3.7740733721838233 (15.678182079)
3.974: -3.775267534173055 (15.690023606)
3.975: -3.7764469308402946 (15.701871094)
3.976: -3.7776116130807766 (15.713724544)
3.977: -3.778761631645459 (15.725583958)
3.978: -3.7798970371386766 (15.737449338)
3.979: -3.7810178800192324 (15.749320685)
3.98: -3.7821242106005455 (15.761198)
3.981: -3.783216079051272 (15.773081285)
3.982: -3.7842935353947835 (15.784970542)
3.983: -3.7853566295121457 (15.796865772)
3.984: -3.786405411137935 (15.808766976)
3.985: -3.7874399298670145 (15.820674156)
