Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x54ae60>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.741: -2.9698966363315127 (13.088899505)
3.742: -2.976257380354455 (13.099398622)
3.743: -2.9825865960151337 (13.109903352)
3.744: -2.988884381694002 (13.120413696)
3.745: -2.9951508354966445 (13.130929656)
3.746: -3.0013860552518477 (13.141451234)
3.747: -3.0075901385158743 (13.151978431)
3.748: -3.0137631825708646 (13.162511248)
3.749: -3.0199052844253957 (13.173049687)
3.75: -3.026016540816733 (13.18359375)
3.751: -3.032097048211527 (13.194143438)
3.752: -3.038146902803988 (13.204698752)
3.753: -3.044166200520954 (13.215259694)
3.754: -3.050155037017655 (13.225826266)
3.755: -3.056113507682791 (13.236398469)
3.756: -3.062041707636948 (13.246976304)
3.757: -3.0679397317327477 (13.257559773)
3.758: -3.073807674558459 (13.268148878)
3.759: -3.0796456304360276 (13.27874362)
3.76: -3.0854536934219565 (13.289344)
3.761: -3.091231957309137 (13.29995002)
3.762: -3.096980515628738 (13.310561682)
3.763: -3.1026994616471337 (13.321178987)
3.764: -3.1083888883695097 (13.331801936)
3.765: -3.1140488885407516 (13.342430531)
3.766: -3.11967955464401 (13.353064774)
3.767: -3.1252809789040916 (13.363704666)
3.768: -3.1308532532858653 (13.374350208)
3.769: -3.1363964694959705 (13.385001402)
3.77: -3.1419107189832616 (13.39565825)
3.771: -3.1473960929403004 (13.406320753)
3.772: -3.1528526823034575 (13.416988912)
3.773: -3.1582805777521146 (13.427662729)
3.774: -3.1636798697126953 (13.438342206)
3.775: -3.1690506483560945 (13.449027344)
3.776: -3.1743930036010406 (13.459718144)
3.777: -3.1797070251127018 (13.470414608)
3.778: -3.1849928023039316 (13.481116738)
3.779: -3.190250424337116 (13.491824535)
3.78: -3.1954799801225233 (13.502538)
3.781: -3.2006815583225707 (13.513257135)
3.782: -3.205855247348012 (13.523981942)
3.783: -3.2110011353617076 (13.534712422)
3.784: -3.2161193102801895 (13.545448576)
3.785: -3.2212098597701746 (13.556190406)
3.786: -3.2262728712535305 (13.566937914)
3.787: -3.231308431904849 (13.577691101)
3.788: -3.2363166286545257 (13.588449968)
3.789: -3.2412975481879474 (13.599214517)
3.79: -3.2462512769466265 (13.60998475)
3.791: -3.2511779011278272 (13.620760668)
3.792: -3.256077506688134 (13.631542272)
3.793: -3.2609501793396047 (13.642329564)
3.794: -3.2657960045561065 (13.653122546)
3.795: -3.2706150675675936 (13.663921219)
3.796: -3.2754074533659674 (13.674725584)
3.797: -3.2801732467037614 (13.685535643)
3.798: -3.2849125320941135 (13.696351398)
3.799: -3.289625393812569 (13.70717285)
3.8: -3.2943119158971674 (13.718)
3.801: -3.298972182148613 (13.72883285)
3.802: -3.303606276131714 (13.739671402)
3.803: -3.3082142811776305 (13.750515657)
3.804: -3.312796280379203 (13.761365616)
3.805: -3.317352356598349 (13.772221281)
3.806: -3.3218825924614377 (13.783082654)
3.807: -3.3263870703631206 (13.793949736)
3.808: -3.330865872464911 (13.804822528)
3.809: -3.335319080696168 (13.815701032)
3.81: -3.3397467767573716 (13.82658525)
3.811: -3.3441490421172153 (13.837475183)
3.812: -3.3485259580134175 (13.848370832)
3.813: -3.352877605456737 (13.859272199)
3.814: -3.357204065227579 (13.870179286)
3.815: -3.361505417880835 (13.881092094)
3.816: -3.3657817437415347 (13.892010624)
3.817: -3.3700331229096387 (13.902934878)
3.818: -3.3742596352580145 (13.913864858)
3.819: -3.378461360434757 (13.924800565)
3.82: -3.382638377863253 (13.935742)
3.821: -3.386790766742675 (13.946689165)
3.822: -3.3909186060480887 (13.957642062)
3.823: -3.3950219745315233 (13.968600692)
3.824: -3.3991009507239562 (13.979565056)
3.825: -3.4031556129324967 (13.990535156)
3.826: -3.407186039245064 (14.001510994)
3.827: -3.4111923075275405 (14.012492571)
3.828: -3.4151744954270797 (14.023479888)
3.829: -3.4191326803703452 (14.034472947)
3.83: -3.423066939565762 (14.04547175)
3.831: -3.4269773500037672 (14.056476298)
3.832: -3.4308639884568017 (14.067486592)
3.833: -3.434726931480725 (14.078502634)
3.834: -3.438566255414223 (14.089524426)
3.835: -3.4423820363812814 (14.100551969)
3.836: -3.446174350290173 (14.111585264)
3.837: -3.449943272833484 (14.122624313)
3.838: -3.4536888794918568 (14.133669118)
3.839: -3.457411245530265 (14.14471968)
3.84: -3.4611104460031417 (14.155776)
3.841: -3.4647865557495363 (14.16683808)
3.842: -3.468439649400761 (14.177905922)
3.843: -3.472069801372938 (14.188979527)
3.844: -3.4756770858735275 (14.200058896)
3.845: -3.479261576901473 (14.211144031)
3.846: -3.4828233482425612 (14.222234934)
3.847: -3.486362473477161 (14.233331606)
3.848: -3.489879025975851 (14.244434048)
3.849: -3.493373078901624 (14.255542262)
3.85: -3.496844705210115 (14.26665625)
3.851: -3.500293977649982 (14.277776013)
3.852: -3.50372096876558 (14.288901552)
3.853: -3.5071257508939473 (14.300032869)
3.854: -3.5105083961681083 (14.311169966)
3.855: -3.5138689765167754 (14.322312844)
3.856: -3.5172075636637503 (14.333461504)
3.857: -3.520524229130779 (14.344615948)
3.858: -3.5238190442373045 (14.355776178)
3.859: -3.5270920800981367 (14.366942195)
3.86: -3.5303434076303275 (14.378114)
3.861: -3.5335730975458683 (14.389291595)
3.862: -3.53678122035994 (14.400474982)
3.863: -3.539967846384125 (14.411664162)
3.864: -3.5431330457340673 (14.422859136)
3.865: -3.5462768883243188 (14.434059906)
3.866: -3.5493994438711596 (14.445266474)
3.867: -3.5525007818943175 (14.456478841)
3.868: -3.5555809717156577 (14.467697008)
3.869: -3.5586400824600255 (14.478920977)
3.87: -3.5616781830571607 (14.49015075)
3.871: -3.564695342238456 (14.501386328)
3.872: -3.5676916285443045 (14.512627712)
3.873: -3.570667110316598 (14.523874904)
3.874: -3.5736218557063335 (14.535127906)
