Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x592160>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.1, 5.0): 9.187120036281195
(2.1, 5.1): 9.004021451658735
(2.1, 5.2): 8.852103874072709
(2.1, 5.3): 8.726324573571384
(2.1, 5.4): 8.622418349404787
(2.1, 5.5): 8.536783985114969
(2.1, 5.6): 8.4663860502876
(2.1, 5.7): 8.408670247289963
(2.1, 5.8): 8.361490646857401
(2.1, 5.9): 8.323047307566101
(2.1, 6.0): 8.291832925679127
(2.2, 3.0): 32.07930032417203
(2.2, 3.1): 27.84689162804931
(2.2, 3.2): 24.18461256631992
(2.2, 3.3): 21.023807473037827
(2.2, 3.4): 18.302959744973073
(2.2, 3.5): 15.96701168525903
(2.2, 3.6): 13.966794726671827
(2.2, 3.7): 12.25852746383222
(2.2, 3.8): 10.803356800868649
(2.2, 3.9): 9.566928755083621
(2.2, 4.0): 8.518982318599392
(2.2, 4.1): 7.632963796340436
(2.2, 4.2): 6.885661229505816
(2.2, 4.3): 6.256859555667524
(2.2, 4.4): 5.729017494630488
(2.2, 4.4): 5.729017494630488
(2.2, 4.41): 5.681183070329558
(2.2, 4.42): 5.634190886142789
(2.2, 4.43): 5.588027199039172
(2.2, 4.44): 5.54267846995188
(2.2, 4.45): 5.498131361166209
(2.2, 4.46): 5.4543727337716135
(2.2, 4.47): 5.411389645086101
(2.2, 4.48): 5.369169346151461
(2.2, 4.49): 5.327699279224051
(2.2, 4.5): 5.286967075298924
(2.2, 4.51): 5.246960551650462
(2.2, 4.52): 5.207667709401016
(2.2, 4.53): 5.169076731124502
(2.2, 4.54): 5.131175978449589
(2.2, 4.55): 5.093953989700328
(2.2, 4.56): 5.0573994775621856
(2.2, 4.57): 5.02150132676617
(2.2, 4.58): 4.986248591797912
(2.2, 4.59): 4.951630494622704
(2.2, 4.6): 4.917636422448193
(2.2, 4.61): 4.884255925500877
(2.2, 4.62): 4.851478714821137
(2.2, 4.63): 4.819294660083824
(2.2, 4.64): 4.787693787460749
(2.2, 4.65): 4.756666277469118
(2.2, 4.66): 4.726202462870727
(2.2, 4.67): 4.696292826587901
(2.2, 4.68): 4.666927999640303
(2.2, 4.69): 4.6380987590892815
(2.2, 4.7): 4.609796026037663
(2.2, 4.71): 4.582010863617515
(2.2, 4.72): 4.554734475016133
(2.2, 4.73): 4.527958201533267
(2.2, 4.74): 4.501673520630073
(2.2, 4.75): 4.475872044036915
(2.2, 4.76): 4.450545515851229
