Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.8, 4.881): -3.15837401
(2.8, 4.882): -3.158639435
(2.8, 4.883): -3.15890537
(2.8, 4.884): -3.159182905
(2.8, 4.885): -3.159454625
(2.8, 4.886): -3.15971893
(2.8, 4.887): -3.159989815
(2.8, 4.888): -3.16025144
(2.8, 4.889): -3.16051538
(2.8, 4.89): -3.160791865
(2.8, 4.891): -3.1610364
(2.8, 4.892): -3.16130037
(2.8, 4.893): -3.16154674
(2.8, 4.894): -3.161794985
(2.8, 4.895): -3.16204381
(2.8, 4.896): -3.162291815
(2.8, 4.897): -3.162534105
(2.8, 4.898): -3.16278251
(2.8, 4.899): -3.16305094
(2.8, 4.9): -3.163280365
(2.8, 4.901): -3.16352246
(2.8, 4.902): -3.1637478
(2.8, 4.903): -3.16397754
(2.8, 4.904): -3.16419915
(2.8, 4.905): -3.16442268
(2.8, 4.906): -3.1646807
(2.8, 4.907): -3.164900815
(2.8, 4.908): -3.165120015
(2.8, 4.909): -3.16535483
(2.8, 4.91): -3.16556891
(2.8, 4.911): -3.16577027
(2.8, 4.912): -3.165986855
(2.8, 4.913): -3.166188325
(2.8, 4.914): -3.166407475
(2.8, 4.915): -3.16661784
(2.8, 4.916): -3.16682116
(2.8, 4.917): -3.167023095
(2.8, 4.918): -3.16723717
(2.8, 4.919): -3.167456935
(2.8, 4.92): -3.167643545
(2.8, 4.921): -3.1678413
(2.8, 4.922): -3.16804473
(2.8, 4.923): -3.168241815
(2.8, 4.924): -3.16843029
(2.8, 4.925): -3.16862153
(2.8, 4.926): -3.168802825
(2.8, 4.927): -3.169016785
(2.8, 4.928): -3.169213115
(2.8, 4.929): -3.169393345
(2.8, 4.93): -3.16959053
(2.8, 4.931): -3.169774115
(2.8, 4.932): -3.16995996
(2.8, 4.933): -3.170137535
