Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x7ff3f5535150>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant/Ang: Energy/eV
----------------------------------------------
(2.1, 5.1): 9.004021451658724
(2.1, 5.2): 8.852103874072707
(2.1, 5.3): 8.726324573571384
(2.1, 5.4): 8.622418349404787
(2.1, 5.5): 8.536783985114967
(2.1, 5.6): 8.466386050287602
(2.1, 5.7): 8.408670247289963
(2.1, 5.8): 8.361490646857401
(2.1, 5.9): 8.323047307566101
(2.1, 6.0): 8.291832925679127
(2.2, 3.0): 32.07930032417203
(2.2, 3.1): 27.84689162804931
(2.2, 3.2): 24.18461256631992
(2.2, 3.3): 21.023807473037827
(2.2, 3.4): 18.302959744973073
(2.2, 3.5): 15.96701168525903
(2.2, 3.6): 13.966794726671827
(2.2, 3.7): 12.258527463832218
(2.2, 3.8): 10.803356800868649
(2.2, 3.9): 9.566928755083621
(2.2, 4.0): 8.518982318599392
(2.2, 4.1): 7.632963796340436
(2.2, 4.2): 6.885661229505815
(2.2, 4.3): 6.256859555667524
(2.2, 4.4): 5.729017494630487
(2.2, 4.4): 5.7290174946304875
(2.2, 4.41): 5.681183070329559
(2.2, 4.42): 5.634190886142789
(2.2, 4.43): 5.588027199039172
(2.2, 4.44): 5.542678469951861
(2.2, 4.45): 5.498131361166209
(2.2, 4.46): 5.454372733771614
(2.2, 4.47): 5.4113896450860794
(2.2, 4.48): 5.369169346151462
(2.2, 4.49): 5.327699279224044
(2.2, 4.5): 5.286967075298922
(2.2, 4.51): 5.24696055165039
(2.2, 4.52): 5.207667709401016
(2.2, 4.53): 5.169076731124509
(2.2, 4.54): 5.131175978449588
(2.2, 4.55): 5.093953989700328
(2.2, 4.56): 5.0573994775621856
(2.2, 4.57): 5.02150132676617
(2.2, 4.58): 4.986248591797917
(2.2, 4.59): 4.951630494622704
(2.2, 4.6): 4.917636422448195
(2.2, 4.61): 4.884255925500876
(2.2, 4.62): 4.851478714821137
(2.2, 4.63): 4.819294660083826
(2.2, 4.64): 4.787693787460749
(2.2, 4.65): 4.756666277469166
(2.2, 4.66): 4.7262024628707335
(2.2, 4.67): 4.696292826587903
(2.2, 4.68): 4.666927999640303
(2.2, 4.69): 4.6380987590892815
(2.2, 4.7): 4.609796026037659
(2.2, 4.71): 4.582010863617515
(2.2, 4.72): 4.554734475016135
(2.2, 4.73): 4.5279582015332664
(2.2, 4.74): 4.501673520630075
(2.2, 4.75): 4.475872044036915
(2.2, 4.76): 4.450545515851229
(2.2, 4.77): 4.425685810677131
(2.2, 4.78): 4.401284931775164
(2.2, 4.79): 4.377335009237567
(2.2, 4.8): 4.35382829818268
(2.2, 4.81): 4.330757176978473
(2.2, 4.82): 4.308114145470281
(2.2, 4.83): 4.285891823245827
(2.2, 4.84): 4.264082947910858
(2.2, 4.85): 4.2426803733834815
(2.2, 4.86): 4.221677068227434
(2.2, 4.87): 4.201066113971977
(2.2, 4.88): 4.18084070348891
(2.2, 4.89): 4.160994139359237
(2.2, 4.9): 4.141519832278771
(2.2, 4.91): 4.122411299472468
(2.2, 4.92): 4.103662163133583
(2.2, 4.93): 4.0852661488825115
(2.2, 4.94): 4.067217084237838
(2.2, 4.95): 4.0495088971174
(2.2, 4.96): 4.032135614346741
(2.2, 4.97): 4.015091360190802
(2.2, 4.98): 3.9983703549149143
(2.2, 4.99): 3.9819669133363798
(2.2, 5.0): 3.9658754434327115
(2.2, 5.1): 3.8209528033695204
(2.2, 5.2): 3.7017162901981915
(2.2, 5.3): 3.6039085512955062
(2.2, 5.4): 3.5239382186748527
(2.2, 5.5): 3.4587822109871746
(2.2, 5.6): 3.405901093795079
(2.2, 5.7): 3.3631660395769276
(2.2, 5.8): 3.3287960209853273
(2.2, 5.9): 3.3013039768630157
(2.2, 6.0): 3.2794508034458287
(2.3, 3.0): 23.928340712707477
(2.3, 3.1): 20.400300544859526
(2.3, 3.2): 17.346671994695864
(2.3, 3.3): 14.711012598331559
(2.3, 3.4): 12.44269269748403
(2.3, 3.5): 10.496299363308935
(2.3, 3.6): 8.831160616609916
(2.3, 3.7): 7.41094247399282
(2.3, 3.8): 6.203290273011698
(2.3, 3.9): 5.179497864928208
(2.3, 4.0): 4.314195887251162
(2.3, 4.1): 3.5850549796640316
(2.3, 4.2): 2.972502523652019
(2.3, 4.3): 2.4594529600606783
(2.3, 4.4): 2.0310524290881475
(2.3, 4.4): 2.0310524290881475
(2.3, 4.41): 1.9923568548835253
(2.3, 4.42): 1.9543658552756082
(2.3, 4.43): 1.9170677678196077
(2.3, 4.44): 1.8804511022813237
(2.3, 4.45): 1.8445045385194245
(2.3, 4.46): 1.809216924390292
(2.3, 4.47): 1.774577273668592
(2.3, 4.48): 1.7405747639800424
(2.3, 4.49): 1.7071987347574151
(2.3, 4.5): 1.6744386852102742
(2.3, 4.51): 1.6422842723146975
(2.3, 4.52): 1.6107253088140838
(2.3, 4.53): 1.5797517612464798
(2.3, 4.54): 1.5493537479801245
(2.3, 4.55): 1.5195215372728434
(2.3, 4.56): 1.4902455453426038
(2.3, 4.57): 1.4615163344623938
(2.3, 4.58): 1.4333246110669213
(2.3, 4.59): 1.4056612238775306
(2.3, 4.6): 1.3785171620461654
(2.3, 4.61): 1.3518835533162887
(2.3, 4.62): 1.3257516621978778
(2.3, 4.63): 1.3001128881626756
(2.3, 4.64): 1.2749587638591016
(2.3, 4.65): 1.2502809533361205
(2.3, 4.66): 1.2260712502923652
(2.3, 4.67): 1.2023215763401813
(2.3, 4.68): 1.1790239792826471
(2.3, 4.69): 1.156170631413557
(2.3, 4.7): 1.1337538278312354
(2.3, 4.71): 1.1117659847683663
(2.3, 4.72): 1.0901996379430903
(2.3, 4.73): 1.0690474409206405
(2.3, 4.74): 1.0483021634990526
(2.3, 4.75): 1.0279566901044443
(2.3, 4.76): 1.0080040182092327
(2.3, 4.77): 0.9884372567630557
(2.3, 4.78): 0.9692496246418842
(2.3, 4.79): 0.9504344491135593
(2.3, 4.8): 0.9319851643193988
(2.3, 4.81): 0.9138953097728764
(2.3, 4.82): 0.8961585288743791
(2.3, 4.83): 0.8787685674423332
(2.3, 4.84): 0.8617192722598055
(2.3, 4.85): 0.8450045896389009
(2.3, 4.86): 0.8286185639997752
(2.3, 4.87): 0.812555336465444
(2.3, 4.88): 0.7968091434750497
(2.3, 4.89): 0.7813743154092676
(2.3, 4.9): 0.7662452752345658
(2.3, 4.91): 0.7514165371610718
(2.3, 4.92): 0.7368827053170774
(2.3, 4.93): 0.722638472439942
(2.3, 4.94): 0.7086786185790611
(2.3, 4.95): 0.694998009817921
(2.3, 4.96): 0.6815915970092644
(2.3, 4.97): 0.6684544145266061
(2.3, 4.98): 0.6555815790286047
(2.3, 4.99): 0.6429682882406053
(2.3, 5.0): 0.6306098197503103
(2.3, 5.1): 0.5200561936017133
(2.3, 5.2): 0.4303391573126024
(2.3, 5.3): 0.35788094259215897
(2.3, 5.4): 0.29967475384232184
(2.3, 5.5): 0.25320051786170955
