Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x2fcab40>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

lattice constant/Ang: energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.941: -3.72775170840945 (15.302391655)
3.942: -3.72944613213576 (15.314043222)
3.943: -3.7311240820485887 (15.325700702)
3.944: -3.7327856139512154 (15.337364096)
3.945: -3.7344307834863444 (15.349033406)
3.946: -3.7360596461363857 (15.360708634)
3.947: -3.7376722572230467 (15.372389781)
3.948: -3.739268671916204 (15.384076848)
3.949: -3.740848945215601 (15.395769837)
3.95: -3.742413131978449 (15.40746875)
3.951: -3.7439612868907637 (15.419173588)
3.952: -3.7454934644866715 (15.430884352)
3.953: -3.747009719152514 (15.442601044)
3.954: -3.7485101051004017 (15.454323666)
3.955: -3.7499946764070033 (15.466052219)
3.956: -3.7514634869788095 (15.477786704)
3.957: -3.752916590572933 (15.489527123)
3.958: -3.754354040795078 (15.501273478)
3.959: -3.7557758910934558 (15.51302577)
3.96: -3.757182194764391 (15.524784)
3.961: -3.7585730049486505 (15.53654817)
3.962: -3.759948374638431 (15.548318282)
3.963: -3.761308356670268 (15.560094337)
3.964: -3.7626530037309736 (15.571876336)
3.965: -3.763982368356551 (15.583664281)
3.966: -3.7652965029266166 (15.595458174)
3.967: -3.766595459679871 (15.607258016)
3.968: -3.767879290695305 (15.619063808)
3.969: -3.76914804790621 (15.630875552)
3.97: -3.770401783100257 (15.64269325)
3.971: -3.771640547913474 (15.654516903)
3.972: -3.7728643938259854 (15.666346512)
3.973: -3.774073372182186 (15.678182079)
3.974: -3.7752675341744237 (15.690023606)
3.975: -3.776446930839031 (15.701871094)
3.976: -3.7776116130790878 (15.713724544)
3.977: -3.778761631643752 (15.725583958)
3.978: -3.779897037138284 (15.737449338)
3.979: -3.781017880020497 (15.749320685)
3.98: -3.782124210600256 (15.761198)
3.981: -3.7832160790507494 (15.773081285)
3.982: -3.784293535396422 (15.784970542)
3.983: -3.785356629510721 (15.796865772)
3.984: -3.7864054111395657 (15.808766976)
3.985: -3.7874399298670824 (15.820674156)
3.986: -3.788460235147797 (15.832587314)
3.987: -3.7894663762873284 (15.844506451)
3.988: -3.790458402456349 (15.856431568)
3.989: -3.791436362669746 (15.868362667)
3.99: -3.7924003058158955 (15.88029975)
3.991: -3.793350280635154 (15.892242818)
3.992: -3.794286335729606 (15.904191872)
3.993: -3.795208519555938 (15.916146914)
3.994: -3.796116880437596 (15.928107946)
3.995: -3.797011466551789 (15.940074969)
3.996: -3.7978923259488724 (15.952047984)
3.997: -3.798759506525972 (15.964026993)
3.998: -3.7996130560491825 (15.976011998)
3.999: -3.8004530221456787 (15.988003)
4.0: -3.8012794523091773 (16.0)
4.001: -3.8020923938888758 (16.012003)
4.002: -3.8028918940986096 (16.024012002)
4.003: -3.8036780000242487 (16.036027007)
4.004: -3.804450758602342 (16.048048016)
4.005: -3.8052102166471564 (16.060075031)
4.006: -3.8059564208238257 (16.072108054)
4.007: -3.8066894176755284 (16.084147086)
4.008: -3.8074092536047774 (16.096192128)
4.009: -3.808115974877797 (16.108243182)
4.01: -3.8088096276328582 (16.12030025)
4.011: -3.809490257866831 (16.132363333)
4.012: -3.8101579114517072 (16.144432432)
4.013: -3.8108126341194968 (16.156507549)
4.014: -3.8114544714787364 (16.168588686)
4.015: -3.8120834689981185 (16.180675844)
4.016: -3.8126996720166972 (16.192769024)
4.017: -3.813303125744295 (16.204868228)
4.018: -3.813893875254503 (16.216973458)
4.019: -3.81447196550134 (16.229084715)
4.02: -3.815037441294292 (16.241202)
4.021: -3.815590347323354 (16.253325315)
4.022: -3.816130728146192 (16.265454662)
4.023: -3.8166586281880837 (16.277590042)
4.024: -3.817174091753233 (16.289731456)
4.025: -3.8176771630092894 (16.301878906)
4.026: -3.818167885998355 (16.314032394)
4.027: -3.8186463046372556 (16.326191921)
4.028: -3.819112462713809 (16.338357488)
4.029: -3.819566403888587 (16.350529097)
4.03: -3.8200081716950693 (16.36270675)
4.031: -3.820437809541516 (16.374890448)
4.032: -3.820855360710612 (16.387080192)
4.033: -3.8212608683535167 (16.399275984)
4.034: -3.821654375505723 (16.411477826)
4.035: -3.822035925071368 (16.423685719)
4.036: -3.8224055598326263 (16.435899664)
4.037: -3.822763322444645 (16.448119663)
4.038: -3.823109255440067 (16.460345718)
4.039: -3.823443401227991 (16.47257783)
4.04: -3.8237658020967458 (16.484816)
4.041: -3.8240765002100843 (16.49706023)
4.042: -3.8243755376025432 (16.509310522)
4.043: -3.8246629561981633 (16.521566877)
4.044: -3.82493879779201 (16.533829296)
4.045: -3.825203104055337 (16.546097781)
4.046: -3.825455916545333 (16.558372334)
4.047: -3.8256972766961836 (16.570652956)
4.048: -3.8259272258146644 (16.582939648)
4.049: -3.826145805096475 (16.595232412)
4.05: -3.826353055608336 (16.60753125)
4.051: -3.826549018309414 (16.619836163)
4.052: -3.8267337340275915 (16.632147152)
4.053: -3.826907243477317 (16.644464219)
4.054: -3.8270695872546856 (16.656787366)
4.055: -3.8272208058351382 (16.669116594)
4.056: -3.8273609395832673 (16.681451904)
4.057: -3.827490028734171 (16.693793298)
4.058: -3.827608113411405 (16.706140778)
4.059: -3.8277152336286533 (16.718494345)
4.06: -3.827811429269689 (16.730854)
4.061: -3.8278967401114863 (16.743219745)
4.062: -3.827971205812 (16.755591582)
4.063: -3.828034865910126 (16.767969512)
4.064: -3.8280877598373135 (16.780353536)
4.065: -3.82812992690204 (16.792743656)
4.066: -3.828161406303532 (16.805139874)
4.067: -3.8281822371227703 (16.817542191)
4.068: -3.8281924583284286 (16.829950608)
4.069: -3.828192108776302 (16.842365127)
4.07: -3.828181227203429 (16.85478575)
4.071: -3.828159852238688 (16.867212478)
4.072: -3.8281280224018124 (16.879645312)
4.073: -3.828085776085626 (16.892084254)
4.074: -3.8280331515907493 (16.904529306)
4.075: -3.827970187085519 (16.916980469)
4.076: -3.827896920643599 (16.929437744)
4.077: -3.8278133902134868 (16.941901133)
4.078: -3.827719633643633 (16.954370638)
4.079: -3.8276156886655364 (16.96684626)
4.08: -3.8275015929029013 (16.979328)
4.081: -3.827377383866047 (16.99181586)
4.082: -3.827243098958504 (17.004309842)
4.083: -3.82709877547277 (17.016809947)
4.084: -3.8269444505930563 (17.029316176)
4.085: -3.826780161392877 (17.041828531)
4.086: -3.8266059448432275 (17.054347014)
4.087: -3.826421837795469 (17.066871626)
4.088: -3.8262278770049374 (17.079402368)
4.089: -3.826024099108066 (17.091939242)
4.09: -3.8258105406439955 (17.10448225)
4.091: -3.8255872380396188 (17.117031393)
4.092: -3.8253542276142696 (17.129586672)
4.093: -3.8251115455801474 (17.142148089)
4.094: -3.824859228049178 (17.154715646)
4.095: -3.824597311017455 (17.167289344)
4.096: -3.8243258303861403 (17.179869184)
4.097: -3.8240448219439784 (17.192455168)
4.098: -3.823754321376214 (17.205047298)
4.099: -3.8234543642612353 (17.217645575)
4.1: -3.8231449860777382 (17.23025)
4.101: -3.822826222197909 (17.242860575)
4.102: -3.8224981078891647 (17.255477302)
4.103: -3.8221606783122217 (17.268100182)
4.104: -3.8218139685337307 (17.280729216)
4.105: -3.821458013504237 (17.293364406)
4.106: -3.8210928480842985 (17.306005754)
4.107: -3.820718507025895 (17.318653261)
4.108: -3.8203350249745904 (17.331306928)
4.109: -3.819942436479346 (17.343966757)
